ID,TITLE,FACTION,TYPE,THREAT,RARITY,CARD TEXT,NOTES,TYPE 2,DATE ADDED,PRINT,IMAGE,card_background,Action Title,Creature Title,Attachment Title,Scheme Title,Captain Title,Nickname,COLOR,FACTION style,TYPE style,Nickname
respected_elder,Respected Elder,Vora,Captain,6,,{b: Captured:} Remove all fatigue tokens on enemy creatures. Alert all Vora creatures.,,,3/11/2026,Y,respected_elder.png,bg_vora.png,,,,,Respected Elder,,$vora_color,$bg[$vora_color],$bg[$vora_color],respected_elder
lurkk,Lurkk,Vora,Creature,3,,{b: Enter:} Choose a direction. Fatigue all creatures of the chosen direction.,,,,Y,lurkk.png,bg_vora.png,,Lurkk,,,,,$vora_color,$bg[$vora_color],$bg[$vora_color],lurkk
pack_provider,Pack Provider,Vora,Creature,4,,"{b: After Fight:} If the defending creature is destroyed, Remove 1 damage from all friendly Vora creatures.",,,,Y,pack_provider.png,bg_vora.png,,Pack Provider,,,,,$vora_color,$bg[$vora_color],$bg[$vora_color],pack_provider
revv,Revv,Vora,Creature,2,,"Huddled. Double any damage dealt to this creature while on a flank.

{b: Enter:} Alert this creature.",,,,Y,revv.png,bg_vora.png,,Revv,,,,,$vora_color,$bg[$vora_color],$bg[$vora_color],revv
sprinter,Sprinter,Vora,Creature,3,,"{b: After Fight:} You may Alert this Creature. If you do, Fatigue it.",,,,Y,sprinter.png,bg_vora.png,,Sprinter,,,,,$vora_color,$bg[$vora_color],$bg[$vora_color],sprinter
starving_runt,Starving Runt,Vora,Creature,2,,"This creature cannot Gather.

{b: After Fight:} If the defender is not destroyed, Fatigue this creature.",,,3/10/2026,Y,starving_runt.png,bg_vora.png,,Starving Runt,,,,,$vora_color,$bg[$vora_color],$bg[$vora_color],starving_runt
swivol,Swivol,Vora,Creature,3,,"This creature deals +1 damage when fighting a creature that shares its direction.

{b: Enter:} Expose each enemy creature that matches this creature's direction.",,,3/18/2026,Y,swivol.png,bg_vora.png,,Swivol,,,,,$vora_color,$bg[$vora_color],$bg[$vora_color],swivol
makeshift_barrier,Makeshift Barrier,Vora,Scheme,,,"{b: Before Raid:} Your opponent must lose 2 $secret to continue the Raid. If they cannot, they gain 5 $secret.",,,,Y,makeshift_barrier.png,bg_vora.png,,,,Makeshift Barrier,,,$vora_color,$bg[$vora_color],$bg[$vora_color],makeshift_barrier
predators_instinct,Predator's Instinct,Vora,Scheme,,,"{b: Action:} For the rest of this turn, each time an enemy creature is destroyed in a fight, set your compass to that creature's direction.",PRE PATH SCHEME NEEDS UPDATING,,,Y,predators_instinct.png,bg_vora.png,,,,Predator's Instinct,,,$vora_color,$bg[$vora_color],$bg[$vora_color],predators_instinct
trackers_scent,Tracker's Scent,Vora,Scheme,,,"If you Capture no Captains in a Raid, Gain 2 $secret.

{b: After Raid:} Destroy this Scheme.",PRE PATH SCHEME NEEDS UPDATING,,,Y,trackers_scent.png,bg_vora.png,,,,Tracker's Scent,,,$vora_color,$bg[$vora_color],$bg[$vora_color],trackers_scent
frog_scouts,Frog Scouts,Phibiola,Action,,,"{b: Enter:} Search one of your opponent’s Paths for a card. Put it on the bottom of that Path. If they have no open Paths, put it in their hand instead.",,,,Y,frog_scouts.png,bg_phibiola.png,Frog Scouts,,,,,,$phibiola_color,$bg[$phibiola_color],$bg[$phibiola_color],frog_scouts
cult_research,Cult Research,Blistered,Action,,,"{b: Enter:} Search one of your Paths. For each Blistered creature in play, you may discard a card from that Path. Gain 1 $secret for each card discarded this way. ",,,,Y,cult_research.png,bg_blistered.png,Cult Research,,,,,,$blistered_color,$bg[$blistered_color],$bg[$blistered_color],cult_research
rot_scouts,Rot Scouts,Rotkin,Action,,,"{b: Enter:} Search one of your opponent's Paths. Then, choose a direction. Discard all non-Captain cards in that Path with that direction.",,,,Y,rot_scouts.png,bg_rotkin.png,Rot Scouts,,,,,,$rotkin_color,$bg[$rotkin_color],$bg[$rotkin_color],rot_scouts
teaching_toad,Teaching Toad,Phibiola,Creature,3,,{b: After Fight/Gather:} Draw a card.,,,,Y,teaching_toad.png,bg_phibiola.png,,Teaching Toad,,,,,$phibiola_color,$bg[$phibiola_color],$bg[$phibiola_color],teaching_toad
truth_hurts,Truth Hurts,Blistered,Scheme,,,"Each time a friendly creature Gathers, instead place 1$secret on it for each damage on it. Then, you may deal 1 damage to it. *(Place none if undamaged.)*",,,,Y,truth_hurts.png,bg_blistered.png,,,,Truth Hurts,,,$blistered_color,$bg[$blistered_color],$bg[$blistered_color],truth_hurts
